,seed_title,seed_url,seed_creator,seed_viewcount,seed_upload_date,rec_title,rec_url,rec_creator,rec_viewcount,rec_upload_date
29,"Jordan Peterson: “There was plenty of motivation to take me out. It just didn't work"" | British GQ",https://www.youtube.com/watch?v=yZYQpge1W5s,British GQ,"32,526,890",30-Oct-18,Ghost Stories with Jordan Peterson,https://www.youtube.com/watch?v=GE_mKeDMHm8,H3 Podcast Highlights,"2,128,474",2-Nov-17
30,Ghost Stories with Jordan Peterson,https://www.youtube.com/watch?v=GE_mKeDMHm8,H3 Podcast Highlights,"2,128,474",2-Nov-17,"Jordan Peterson debate on the gender pay gap, campus protests and postmodernism",https://www.youtube.com/watch?v=aMcjxSThD54,Channel 4 News,"29,767,076",16-Jan-18
31,Ghost Stories with Jordan Peterson,https://www.youtube.com/watch?v=GE_mKeDMHm8,H3 Podcast Highlights,"2,128,474",2-Nov-17,H3 Podcast #37 - Jordan Peterson,https://www.youtube.com/watch?v=vx4ltQhdlhg,H3 Podcast,"4,351,626",3-Nov-17
32,Ghost Stories with Jordan Peterson,https://www.youtube.com/watch?v=GE_mKeDMHm8,H3 Podcast Highlights,"2,128,474",2-Nov-17,Jordan Peterson Shares His Thoughts on Hitler,https://www.youtube.com/watch?v=6dwsYWF7TXI,H3 Podcast Highlights,"4,122,820",26-Nov-17
33,Ghost Stories with Jordan Peterson,https://www.youtube.com/watch?v=GE_mKeDMHm8,H3 Podcast Highlights,"2,128,474",2-Nov-17,Quantum Fields: The Real Building Blocks of the Universe - with David Tong,https://www.youtube.com/watch?v=zNVQfWC_evg,The Royal Institution,"3,728,554",15-Feb-17
34,Ghost Stories with Jordan Peterson,https://www.youtube.com/watch?v=GE_mKeDMHm8,H3 Podcast Highlights,"2,128,474",2-Nov-17,"Joe Rogan & Ben Shapiro on the Transgender Movement, Men vs. Women in Sports",https://www.youtube.com/watch?v=IdjdNgvF42o,JRE Clips,"13,823,198",2-Aug-17
35,"Joe Rogan & Ben Shapiro on the Transgender Movement, Men vs. Women in Sports",https://www.youtube.com/watch?v=IdjdNgvF42o,JRE Clips,"13,823,198",2-Aug-17,When China Rules the World,https://www.youtube.com/watch?v=3G1EyvRZmOs,The University of Melbourne,"2,270,106",19-Sep-12
36,"Joe Rogan & Ben Shapiro on the Transgender Movement, Men vs. Women in Sports",https://www.youtube.com/watch?v=IdjdNgvF42o,JRE Clips,"13,823,198",2-Aug-17,The future we're building -- and boring | Elon Musk,https://www.youtube.com/watch?v=zIwLWfaAg-8,TED,"18,355,576",3-May-17
37,"Joe Rogan & Ben Shapiro on the Transgender Movement, Men vs. Women in Sports",https://www.youtube.com/watch?v=IdjdNgvF42o,JRE Clips,"13,823,198",2-Aug-17,Texas Crush 60's -VS- Legacy Sports USA 60's,https://www.youtube.com/watch?v=fqaPeQw4GAw,Senior Softball Bat Reviews,929,21-Apr-21
38,"Joe Rogan & Ben Shapiro on the Transgender Movement, Men vs. Women in Sports",https://www.youtube.com/watch?v=IdjdNgvF42o,JRE Clips,"13,823,198",2-Aug-17,Trash Talker Wanted To Bet a $1000 & Then SH** Got CRAZY!! Things Got Heated & WILD at The Park!,https://www.youtube.com/watch?v=Gsb6VNgeCBQ,Ballislife,"161,986",21-Apr-21
39,"Joe Rogan & Ben Shapiro on the Transgender Movement, Men vs. Women in Sports",https://www.youtube.com/watch?v=IdjdNgvF42o,JRE Clips,"13,823,198",2-Aug-17,Guilty until proven innocent.,https://www.youtube.com/watch?v=BemHqUqcpI8,JCS - Criminal Psychology,"5,521,818",8-Oct-20
40,When China Rules the World,https://www.youtube.com/watch?v=3G1EyvRZmOs,The University of Melbourne,"2,270,106",19-Sep-12,Scottish independence: could Britain break up? | The Economist,https://www.youtube.com/watch?v=kBHZiXUDV6A,The Economist,"584,414",18-Apr-21
41,When China Rules the World,https://www.youtube.com/watch?v=3G1EyvRZmOs,The University of Melbourne,"2,270,106",19-Sep-12,Trump slams Biden's border failures in 'Hannity' exclusive,https://www.youtube.com/watch?v=jMzZ8e8kzKQ,Fox News,"1,808,305",19-Apr-21
42,When China Rules the World,https://www.youtube.com/watch?v=3G1EyvRZmOs,The University of Melbourne,"2,270,106",19-Sep-12,"Victor Davis Hanson - Western Civilization, the Recovery of Greek Wisdom, and Today.",https://www.youtube.com/watch?v=_CURrMzrvSw,Pacifica Christian High School Orange County,"311,422",27-Oct-20
43,When China Rules the World,https://www.youtube.com/watch?v=3G1EyvRZmOs,The University of Melbourne,"2,270,106",19-Sep-12,"Victor Davis Hanson - Western Civilization, the Recovery of Greek Wisdom, and Today.",https://www.youtube.com/watch?v=_CURrMzrvSw,Pacifica Christian High School Orange County,"311,422",27-Oct-20
44,When China Rules the World,https://www.youtube.com/watch?v=3G1EyvRZmOs,The University of Melbourne,"2,270,106",19-Sep-12,What Happens When China Becomes Number One?,https://www.youtube.com/watch?v=RO3izbn201s,Harvard Kennedy School's Institute of Politics,"1,258,057",16-Mar-21
45,"Victor Davis Hanson - Western Civilization, the Recovery of Greek Wisdom, and Today.",https://www.youtube.com/watch?v=_CURrMzrvSw,Pacifica Christian High School Orange County,"311,422",27-Oct-20,War & Human Nature: Hertog Conversations with Victor Davis Hanson,https://www.youtube.com/watch?v=73fSS6H1FOQ,Hertog Foundation,"23,290",12-Aug-20
46,"Victor Davis Hanson - Western Civilization, the Recovery of Greek Wisdom, and Today.",https://www.youtube.com/watch?v=_CURrMzrvSw,Pacifica Christian High School Orange County,"311,422",27-Oct-20,Jordan Peterson | Full Address and Q&A | Oxford Union,https://www.youtube.com/watch?v=UZMIbo_DxJk,OxfordUnion,"7,081,550",24-Jun-18
47,"Victor Davis Hanson - Western Civilization, the Recovery of Greek Wisdom, and Today.",https://www.youtube.com/watch?v=_CURrMzrvSw,Pacifica Christian High School Orange County,"311,422",27-Oct-20,Candace Owens - The Adam Carolla Show,https://www.youtube.com/watch?v=DjwAr6qDpeY,Adam Carolla,"224,048",16-Apr-21
48,"Victor Davis Hanson - Western Civilization, the Recovery of Greek Wisdom, and Today.",https://www.youtube.com/watch?v=_CURrMzrvSw,Pacifica Christian High School Orange County,"311,422",27-Oct-20,How Prussia Ended The French Empire: Franco-Prussian War | Animated History,https://www.youtube.com/watch?v=xVISzFmBiPU,The Armchair Historian,"712,435",9-Apr-21
49,"Victor Davis Hanson - Western Civilization, the Recovery of Greek Wisdom, and Today.",https://www.youtube.com/watch?v=_CURrMzrvSw,Pacifica Christian High School Orange County,"311,422",27-Oct-20,The Truth About my Son,https://www.youtube.com/watch?v=ybPgmjTRvMo,Mark Rober,"15,030,616",16-Apr-21
50,Candace Owens - The Adam Carolla Show,https://www.youtube.com/watch?v=DjwAr6qDpeY,Adam Carolla,"224,048",16-Apr-21,Political Correctness and Vacuous Wokeness: Douglas Murray debates Sylvana Simons,https://www.youtube.com/watch?v=m2zZMg7SNWA,Sky News Australia,"990,264",14-Dec-19
51,Candace Owens - The Adam Carolla Show,https://www.youtube.com/watch?v=DjwAr6qDpeY,Adam Carolla,"224,048",16-Apr-21,Steve Bannon | Full Address and Q&A | Oxford Union,https://www.youtube.com/watch?v=8AtOw-xyMo8,OxfordUnion,"3,347,008",16-Nov-18
52,Candace Owens - The Adam Carolla Show,https://www.youtube.com/watch?v=DjwAr6qDpeY,Adam Carolla,"224,048",16-Apr-21,Tucker Carlson on The Adam Carolla Show,https://www.youtube.com/watch?v=WUnqT1Hg8qo,Adam Carolla,"1,067,619",22-Oct-18
